_id	model.x	model.y	BNCweighting	FirstOrderWeighting	ContextWindow	SecondOrderWindow	SecondOrderScore	stress
air.n.40-40.weightsBNC-4-4pospmi.7-7.tScore	1.86767190597861	-0.513155012912867	BNC-4-4pospmi	BNC	L40-R40	L7-R7	tScore	23.33
air.n.40-40.weightsBNC-7-7pospmi.10-10.diceM	5.33755374274015	1.66635770063545	BNC-7-7pospmi	BNC	L40-R40	L10-R10	diceM	20.55
air.n.40-40.weightsBNC-7-7pospmi.10-10.LLR	2.29082071619036	-1.99173129688514	BNC-7-7pospmi	BNC	L40-R40	L10-R10	LLR	25.57
air.n.40-40.weightsBNC-7-7pospmi.10-10.pospmi	2.95016697272482	0.834549204233022	BNC-7-7pospmi	BNC	L40-R40	L10-R10	pospmi	22.3
air.n.40-40.weightsBNC-7-7pospmi.10-10.tScore	1.26324605472462	-0.0939433912895188	BNC-7-7pospmi	BNC	L40-R40	L10-R10	tScore	22.26
air.n.40-40.weightsBNC-7-7pospmi.2-2.diceM	5.99866619835683	-0.2999522716352	BNC-7-7pospmi	BNC	L40-R40	L2-R2	diceM	24.27
air.n.40-40.weightsBNC-7-7pospmi.2-2.LLR	5.04707159612597	-1.6392585653611	BNC-7-7pospmi	BNC	L40-R40	L2-R2	LLR	29.39
air.n.40-40.weightsBNC-7-7pospmi.2-2.pospmi	3.94621423315084	1.43096127187602	BNC-7-7pospmi	BNC	L40-R40	L2-R2	pospmi	23.53
air.n.40-40.weightsBNC-7-7pospmi.2-2.tScore	3.4381284184323	-0.568659514896315	BNC-7-7pospmi	BNC	L40-R40	L2-R2	tScore	26.02
air.n.40-40.weightsBNC-7-7pospmi.4-4.diceM	4.42877921523534	1.22217212609146	BNC-7-7pospmi	BNC	L40-R40	L4-R4	diceM	21.85
air.n.40-40.weightsBNC-7-7pospmi.4-4.LLR	3.57072841899564	-1.9836280225411	BNC-7-7pospmi	BNC	L40-R40	L4-R4	LLR	27.82
air.n.40-40.weightsBNC-7-7pospmi.4-4.pospmi	3.10678902031023	0.370444080965332	BNC-7-7pospmi	BNC	L40-R40	L4-R4	pospmi	22.61
air.n.40-40.weightsBNC-7-7pospmi.4-4.tScore	1.87874234003887	-0.237413688696883	BNC-7-7pospmi	BNC	L40-R40	L4-R4	tScore	23.86
air.n.40-40.weightsBNC-7-7pospmi.7-7.diceM	5.40041309777403	1.46504034943597	BNC-7-7pospmi	BNC	L40-R40	L7-R7	diceM	20.94
air.n.40-40.weightsBNC-7-7pospmi.7-7.LLR	2.20798188705638	-2.1468855321358	BNC-7-7pospmi	BNC	L40-R40	L7-R7	LLR	25.31
air.n.40-40.weightsBNC-7-7pospmi.7-7.pospmi	3.150129808204	0.300482615624648	BNC-7-7pospmi	BNC	L40-R40	L7-R7	pospmi	22.29
air.n.40-40.weightsBNC-7-7pospmi.7-7.tScore	1.18206268867254	-0.370374733686486	BNC-7-7pospmi	BNC	L40-R40	L7-R7	tScore	22.66
