_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
community.n.40-40.weightsNONE.4-4.diceM	2.61542907594	-2.90244918622	L40-R40	weightsNONE	none	L4-R4	diceM	23.34
community.n.40-40.weightsNONE.4-4.LLR	0.994731523196	-3.92126626737	L40-R40	weightsNONE	none	L4-R4	dir_lik_stat	32.60
community.n.40-40.weightsNONE.4-4.pospmi	3.36759178816	-0.983183237499	L40-R40	weightsNONE	none	L4-R4	pospmi	26.29
community.n.40-40.weightsNONE.4-4.tScore	2.38159753612	-2.62539394327	L40-R40	weightsNONE	none	L4-R4	tScore	28.87
community.n.40-40.weightsNONE.7-7.diceM	3.32697507659	-1.76669668059	L40-R40	weightsNONE	none	L7-R7	diceM	22.36
community.n.40-40.weightsNONE.7-7.LLR	2.08866826024	-3.28649699722	L40-R40	weightsNONE	none	L7-R7	dir_lik_stat	31.76
community.n.40-40.weightsNONE.7-7.pospmi	2.70458503026	-0.703981081434	L40-R40	weightsNONE	none	L7-R7	pospmi	24.41
community.n.40-40.weightsNONE.7-7.tScore	3.23890795341	-1.66188098942	L40-R40	weightsNONE	none	L7-R7	tScore	27.13
community.n.10-10.weightsBNC-2-2pospmi.10-10.diceM	1.98952627531	4.6178762031	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	diceM	19.91
community.n.10-10.weightsBNC-2-2pospmi.10-10.LLR	0.560100985275	2.11790296222	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	dir_lik_stat	24.44
community.n.10-10.weightsBNC-2-2pospmi.10-10.pospmi	1.9994382779	3.70384700966	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	pospmi	21.99
community.n.10-10.weightsBNC-2-2pospmi.10-10.tScore	1.79801592438	2.27746355716	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	tScore	20.62
community.n.10-10.weightsBNC-2-2pospmi.2-2.diceM	-0.523949371323	4.65970681358	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	diceM	23.42
community.n.10-10.weightsBNC-2-2pospmi.2-2.LLR	-0.426873506389	5.15162530682	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	dir_lik_stat	28.73
community.n.10-10.weightsBNC-2-2pospmi.2-2.pospmi	2.55334692994	3.52542222031	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	pospmi	24.81
community.n.10-10.weightsBNC-2-2pospmi.2-2.tScore	-0.110931637716	3.72311802461	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	tScore	27.12
community.n.10-10.weightsBNC-2-2pospmi.4-4.diceM	3.0549850745	4.37049024569	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	diceM	22.07
community.n.10-10.weightsBNC-2-2pospmi.4-4.LLR	0.436247129907	3.60568688056	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	dir_lik_stat	26.87
community.n.10-10.weightsBNC-2-2pospmi.4-4.pospmi	1.88954936919	2.70805065648	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	pospmi	24.51
community.n.10-10.weightsBNC-2-2pospmi.4-4.tScore	1.46636802654	2.50972361352	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	tScore	23.80
community.n.10-10.weightsBNC-2-2pospmi.7-7.diceM	1.5722748315	3.91298151768	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	diceM	20.02
community.n.10-10.weightsBNC-2-2pospmi.7-7.LLR	1.26962608244	2.50090547805	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	dir_lik_stat	25.00
community.n.10-10.weightsBNC-2-2pospmi.7-7.pospmi	2.20324283048	2.78956484458	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	pospmi	21.92
community.n.10-10.weightsBNC-2-2pospmi.7-7.tScore	1.73168727311	2.1032689673	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	tScore	21.68
community.n.10-10.weightsBNC-4-4pospmi.10-10.diceM	1.6177436019	4.24315017059	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	diceM	20.86
community.n.10-10.weightsBNC-4-4pospmi.10-10.LLR	1.23614149888	1.81469684957	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	dir_lik_stat	25.12
community.n.10-10.weightsBNC-4-4pospmi.10-10.pospmi	2.6380544886	2.13806137822	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	pospmi	23.42
community.n.10-10.weightsBNC-4-4pospmi.10-10.tScore	1.17997932489	2.19879814154	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	tScore	21.75
community.n.10-10.weightsBNC-4-4pospmi.2-2.diceM	0.699394671797	4.90976802291	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	diceM	25.61
community.n.10-10.weightsBNC-4-4pospmi.2-2.LLR	-4.02381347849	3.43422716626	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	dir_lik_stat	30.73
community.n.10-10.weightsBNC-4-4pospmi.2-2.pospmi	2.1703831595	3.81620281843	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	pospmi	25.29
community.n.10-10.weightsBNC-4-4pospmi.2-2.tScore	0.0845692953989	3.89252817283	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	tScore	28.17
community.n.10-10.weightsBNC-4-4pospmi.4-4.diceM	-0.10746862258	4.78489336407	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	diceM	23.51
community.n.10-10.weightsBNC-4-4pospmi.4-4.LLR	-1.46293859638	3.19825643368	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	dir_lik_stat	28.44
community.n.10-10.weightsBNC-4-4pospmi.4-4.pospmi	1.86064347215	3.28380448624	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	pospmi	24.83
community.n.10-10.weightsBNC-4-4pospmi.4-4.tScore	1.18323520251	1.9796983754	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	tScore	23.82
community.n.10-10.weightsBNC-4-4pospmi.7-7.diceM	3.20137815064	2.81253087344	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	diceM	21.99
community.n.10-10.weightsBNC-4-4pospmi.7-7.LLR	0.523120269548	2.28091634685	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	dir_lik_stat	27.01
community.n.10-10.weightsBNC-4-4pospmi.7-7.pospmi	2.46731495583	2.77717110269	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	pospmi	24.26
community.n.10-10.weightsBNC-4-4pospmi.7-7.tScore	1.14898737196	2.59818196148	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	tScore	22.23
