_id	model.x	model.y	weighted	first-order weighting	context window size	second-order window size	second-order scheme	MDS stress	Same Class Path ratio
air.n.40-40.weightsBNC-4-4pospmi.4-4.pospmi	3.24082041	0.552857608	yes	BNC-4-4pospmi	L40-R40	L4-R4	pospmi	21.81	0.256371917
air.n.40-40.weightsBNC-4-4pospmi.4-4.tScore	1.752736524	-0.513367562	yes	BNC-4-4pospmi	L40-R40	L4-R4	tScore	23.72	0.499017617
air.n.40-40.weightsBNC-4-4pospmi.7-7.diceM	4.909051357	1.106878125	yes	BNC-4-4pospmi	L40-R40	L7-R7	diceM	20.13	0.248376086
air.n.40-40.weightsBNC-4-4pospmi.7-7.LLR	2.648088333	-1.233741887	yes	BNC-4-4pospmi	L40-R40	L7-R7	LLR	25.83	0.45020449
air.n.40-40.weightsBNC-4-4pospmi.7-7.pospmi	2.866589003	0.52359874	yes	BNC-4-4pospmi	L40-R40	L7-R7	pospmi	21.75	0.243813883
air.n.40-40.weightsBNC-4-4pospmi.7-7.tScore	1.867671906	-0.513155013	yes	BNC-4-4pospmi	L40-R40	L7-R7	tScore	23.33	0.510615062
air.n.40-40.weightsBNC-7-7pospmi.10-10.diceM	5.337553743	1.666357701	yes	BNC-7-7pospmi	L40-R40	L10-R10	diceM	20.55	0.255431807
air.n.40-40.weightsBNC-7-7pospmi.10-10.LLR	2.290820716	-1.991731297	yes	BNC-7-7pospmi	L40-R40	L10-R10	LLR	25.57	0.357748088
air.n.40-40.weightsBNC-7-7pospmi.10-10.pospmi	2.950166973	0.834549204	yes	BNC-7-7pospmi	L40-R40	L10-R10	pospmi	22.3	0.21645749
air.n.40-40.weightsBNC-7-7pospmi.10-10.tScore	1.263246055	-0.093943391	yes	BNC-7-7pospmi	L40-R40	L10-R10	tScore	22.26	0.412614037
air.n.40-40.weightsBNC-7-7pospmi.2-2.diceM	5.998666198	-0.299952272	yes	BNC-7-7pospmi	L40-R40	L2-R2	diceM	24.27	0.300181208
air.n.40-40.weightsBNC-7-7pospmi.2-2.LLR	5.047071596	-1.639258565	yes	BNC-7-7pospmi	L40-R40	L2-R2	LLR	29.39	0.382057255
air.n.40-40.weightsBNC-7-7pospmi.2-2.pospmi	3.946214233	1.430961272	yes	BNC-7-7pospmi	L40-R40	L2-R2	pospmi	23.53	0.19668916
air.n.40-40.weightsBNC-7-7pospmi.2-2.tScore	3.438128418	-0.568659515	yes	BNC-7-7pospmi	L40-R40	L2-R2	tScore	26.02	0.423551986
air.n.40-40.weightsBNC-7-7pospmi.4-4.diceM	4.428779215	1.222172126	yes	BNC-7-7pospmi	L40-R40	L4-R4	diceM	21.85	0.243889175
air.n.40-40.weightsBNC-7-7pospmi.4-4.LLR	3.570728419	-1.983628023	yes	BNC-7-7pospmi	L40-R40	L4-R4	LLR	27.82	0.390896327
air.n.40-40.weightsBNC-7-7pospmi.4-4.pospmi	3.10678902	0.370444081	yes	BNC-7-7pospmi	L40-R40	L4-R4	pospmi	22.61	0.225459227
air.n.40-40.weightsBNC-7-7pospmi.4-4.tScore	1.87874234	-0.237413689	yes	BNC-7-7pospmi	L40-R40	L4-R4	tScore	23.86	0.439608093
air.n.40-40.weightsBNC-7-7pospmi.7-7.diceM	5.400413098	1.465040349	yes	BNC-7-7pospmi	L40-R40	L7-R7	diceM	20.94	0.249146446
air.n.40-40.weightsBNC-7-7pospmi.7-7.LLR	2.207981887	-2.146885532	yes	BNC-7-7pospmi	L40-R40	L7-R7	LLR	25.31	0.381676163
air.n.40-40.weightsBNC-7-7pospmi.7-7.pospmi	3.150129808	0.300482616	yes	BNC-7-7pospmi	L40-R40	L7-R7	pospmi	22.29	0.223358415
air.n.40-40.weightsBNC-7-7pospmi.7-7.tScore	1.182062689	-0.370374734	yes	BNC-7-7pospmi	L40-R40	L7-R7	tScore	22.66	0.421197531
