_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
lie.v.40-40.weightsNONE.2-2.tScore	3.70034603495	-2.52143304199	L40-R40	weightsNONE	none	L2-R2	tScore	30.33
lie.v.40-40.weightsNONE.4-4.diceM	3.61054739679	-5.00861053101	L40-R40	weightsNONE	none	L4-R4	diceM	21.40
lie.v.40-40.weightsNONE.4-4.LLR	5.08032187132	-1.71065157859	L40-R40	weightsNONE	none	L4-R4	dir_lik_stat	30.26
lie.v.40-40.weightsNONE.4-4.pospmi	2.12514360128	-3.57026564515	L40-R40	weightsNONE	none	L4-R4	pospmi	19.88
lie.v.40-40.weightsNONE.4-4.tScore	3.08611760689	-2.26782238905	L40-R40	weightsNONE	none	L4-R4	tScore	25.91
lie.v.40-40.weightsNONE.7-7.diceM	3.06130173828	-4.38923641648	L40-R40	weightsNONE	none	L7-R7	diceM	20.15
lie.v.40-40.weightsNONE.7-7.LLR	5.11874510943	-3.01766967125	L40-R40	weightsNONE	none	L7-R7	dir_lik_stat	31.00
lie.v.40-40.weightsNONE.7-7.pospmi	1.67272940321	-3.21569096637	L40-R40	weightsNONE	none	L7-R7	pospmi	18.78
lie.v.40-40.weightsNONE.7-7.tScore	3.20361013907	-2.30285505677	L40-R40	weightsNONE	none	L7-R7	tScore	22.62
lie.v.10-10.weightsBNC-2-2pospmi.10-10.diceM	-2.82497842658	7.83798300596	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	diceM	17.50
lie.v.10-10.weightsBNC-2-2pospmi.10-10.LLR	2.42524559519	3.24723099281	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	dir_lik_stat	25.81
lie.v.10-10.weightsBNC-2-2pospmi.10-10.pospmi	-0.967587131168	3.38112503925	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	pospmi	21.91
lie.v.10-10.weightsBNC-2-2pospmi.10-10.tScore	1.46388709739	2.38696846459	L10-R10	weightsBNC-2-2pospmi	BNC	L10-R10	tScore	21.96
lie.v.10-10.weightsBNC-2-2pospmi.2-2.diceM	-6.26126143465	4.34189238772	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	diceM	24.33
lie.v.10-10.weightsBNC-2-2pospmi.2-2.LLR	3.27621965016	4.15361124525	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	dir_lik_stat	32.29
lie.v.10-10.weightsBNC-2-2pospmi.2-2.pospmi	-2.59019352048	5.03212570412	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	pospmi	25.16
lie.v.10-10.weightsBNC-2-2pospmi.2-2.tScore	2.18394318567	3.9086505381	L10-R10	weightsBNC-2-2pospmi	BNC	L2-R2	tScore	29.15
lie.v.10-10.weightsBNC-2-2pospmi.4-4.diceM	-2.01508200704	7.08280156484	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	diceM	21.03
lie.v.10-10.weightsBNC-2-2pospmi.4-4.LLR	2.99726263549	3.73582390165	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	dir_lik_stat	28.64
lie.v.10-10.weightsBNC-2-2pospmi.4-4.pospmi	-1.85651761396	3.96520130472	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	pospmi	23.02
lie.v.10-10.weightsBNC-2-2pospmi.4-4.tScore	1.98432746726	3.29457866167	L10-R10	weightsBNC-2-2pospmi	BNC	L4-R4	tScore	25.49
lie.v.10-10.weightsBNC-2-2pospmi.7-7.diceM	-4.72548267244	6.60948058638	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	diceM	19.03
lie.v.10-10.weightsBNC-2-2pospmi.7-7.LLR	2.29218212263	3.15967216527	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	dir_lik_stat	25.74
lie.v.10-10.weightsBNC-2-2pospmi.7-7.pospmi	-2.34818437874	3.71157132079	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	pospmi	23.08
lie.v.10-10.weightsBNC-2-2pospmi.7-7.tScore	1.56671906595	2.63982022836	L10-R10	weightsBNC-2-2pospmi	BNC	L7-R7	tScore	22.72
lie.v.10-10.weightsBNC-4-4pospmi.10-10.diceM	-6.99756706089	2.33212596053	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	diceM	17.61
lie.v.10-10.weightsBNC-4-4pospmi.10-10.LLR	1.06184679878	2.23304212398	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	dir_lik_stat	24.88
lie.v.10-10.weightsBNC-4-4pospmi.10-10.pospmi	-1.04584013441	2.66239236919	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	pospmi	21.29
lie.v.10-10.weightsBNC-4-4pospmi.10-10.tScore	0.520472125201	2.45542076951	L10-R10	weightsBNC-4-4pospmi	BNC	L10-R10	tScore	22.20
lie.v.10-10.weightsBNC-4-4pospmi.2-2.diceM	-2.86051494183	6.88687612063	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	diceM	23.81
lie.v.10-10.weightsBNC-4-4pospmi.2-2.LLR	3.11337013963	4.91664379008	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	dir_lik_stat	33.03
lie.v.10-10.weightsBNC-4-4pospmi.2-2.pospmi	-1.27805951741	3.91887010788	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	pospmi	24.94
lie.v.10-10.weightsBNC-4-4pospmi.2-2.tScore	1.85112853705	3.21327120759	L10-R10	weightsBNC-4-4pospmi	BNC	L2-R2	tScore	29.88
lie.v.10-10.weightsBNC-4-4pospmi.4-4.diceM	-6.95970042917	3.58218153747	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	diceM	21.59
lie.v.10-10.weightsBNC-4-4pospmi.4-4.LLR	0.823749198301	2.99051448002	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	dir_lik_stat	28.41
lie.v.10-10.weightsBNC-4-4pospmi.4-4.pospmi	-1.99362768598	2.61547982971	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	pospmi	22.87
lie.v.10-10.weightsBNC-4-4pospmi.4-4.tScore	1.24558137487	2.20539866563	L10-R10	weightsBNC-4-4pospmi	BNC	L4-R4	tScore	24.49
lie.v.10-10.weightsBNC-4-4pospmi.7-7.diceM	-6.0343806012	5.8849293871	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	diceM	19.67
lie.v.10-10.weightsBNC-4-4pospmi.7-7.LLR	1.41175409725	2.38429253696	L10-R10	weightsBNC-4-4pospmi	BNC	L7-R7	dir_lik_stat	26.02
